Site,Latitude,(deg),Longitude,(deg),EllipElev,(m),X,(m),Y,(m),Z,(m),Epoch,(yr),Net,Status,Last,yr.doy,Ant,Hght(m),Type,Dome
CHOW,37.08485106,-120.21051162,45.4564,-2563370.78259,-4402453.95385,3824936.83301,2022.7616,CRTN,ACTIVE,2023.345,0.0000,TRM57971.00,NONE
CHWK,49.15660661,-122.00842957,174.0288,-2215260.07610,-3543996.84927,4802098.62028,2022.7616,WCDA,ACTIVE,2023.345,0.0000,SEPCHOKE_B3E6,SPKE
CHZZ,45.48651473,-123.97812468,50.7565,-2503336.58461,-3714407.36539,4525454.77091,2022.7616,NOTA,ACTIVE,2023.345,0.0440,TRM59800.80,SCIT
CIRX,34.10955593,-118.93730205,488.1511,-2558057.82584,-4626791.68002,3556788.52907,2022.7616,NOTA,ACTIVE,2023.345,0.0083,TRM59800.99,SCIT
CIT1,34.13671034,-118.12729117,215.3151,-2491490.66764,-4660802.86785,3559129.12572,2022.7616,SCGN,ACTIVE,2023.345,0.0000,TRM57971.00,NONE
CJMG,34.27119560,-117.42446642,1584.3795,-2430790.98051,-4684574.01734,3572238.22090,2022.7616,SCGN,ACTIVE,2023.345,0.0350,TRM57971.00,NONE
CJMS,34.31380033,-117.47938745,933.3225,-2433803.16924,-4679401.83838,3575776.70190,2022.7616,SCGN,ACTIVE,2023.345,0.0083,TRM57971.00,SCIT
CJVG,34.53032178,-118.14423348,1304.8352,-2481675.77938,-4639142.24901,3595803.14201,2022.7616,SCGN,ACTIVE,2023.345,0.0083,TRM57971.00,SCIT
CLAR,34.10992974,-117.70881533,373.6240,-2458218.86715,-4680467.13205,3556758.63861,2022.7616,SCGN,ACTIVE,2023.345,0.1370,TWIVC6150,NONE
CLBD,33.13538743,-117.31098066,20.5352,-2452988.20225,-4750343.60233,3466553.02588,2022.7616,NOTA,ACTIVE,2023.345,0.0083,TRM59800.99,SCIT
CMBB,38.03417595,-120.38604436,695.7214,-2544617.24137,-4339616.50778,3908861.18421,2022.7616,BARD,ACTIVE,2023.333,0.0083,ASH700936C_M,NONE
CMP9,34.35318168,-118.41143044,1137.8849,-2508506.52260,-4637174.35984,3579500.04539,2022.7616,SCGN,ACTIVE,2023.345,0.1265,TWIVC6150,SCIS
CNCR,48.53870523,-121.74930344,55.7094,-2226394.38063,-3597910.97880,4756790.22839,2022.7616,WSRN,ACTIVE,2023.345,0.0000,TRM115000.00,NONE
CNPP,33.85763399,-117.60892524,300.2486,-2457276.62732,-4698553.85957,3533511.22544,2022.7616,NOTA,ACTIVE,2023.345,0.0083,ASH701945B_M,SCIT
COAG,32.86346413,-115.12334838,3.7145,-2276837.20204,-4855375.28730,3441251.46556,2022.7616,SCGN,ACTIVE,2023.345,0.0083,TPSCR.G3,SCIT
COBO,45.48580565,-122.79739697,46.8532,-2426294.45973,-3765247.70159,4525396.73608,2022.7616,ORGN,ACTIVE,2023.345,0.0000,TPSPG_A1+GP,NONE
COKG,32.85051470,-115.72850398,-46.9770,-2328311.27306,-4831720.60687,3440017.58985,2022.7616,SCGN,ACTIVE,2023.178,0.0350,TPSCR.G3,SCIS
COLV,48.54476363,-117.90326858,486.1100,-1979945.43785,-3738950.40559,4757558.84485,2022.7616,WSRN,ACTIVE,2023.345,0.0000,TRM115000.00,NONE
COND,45.23790555,-120.18138062,865.4079,-2262057.30217,-3889510.40419,4506619.50490,2022.7616,ORGN,ACTIVE,2023.269,0.0000,LEIAT504GG,LEIS
COPR,34.41491112,-119.87953239,-22.9093,-2624085.48143,-4567199.22580,3584496.12603,2022.7616,NOTA,ACTIVE,2023.345,0.0083,TRM59800.80,SCIT
CORV,44.58553461,-123.30460637,105.5916,-2498423.44117,-3802819.88858,4454736.67452,2022.7616,NOTA,ACTIVE,2023.345,1.5210,TRM59800.99,SCIS
COSO,35.98234363,-117.80889426,1455.0508,-2411148.57212,-4571429.94793,3727461.42315,2022.7616,SCGN,ACTIVE,2023.345,0.2430,TWIVC6150,SCIS
COTD,33.73248756,-116.38689352,27.5987,-2359843.16460,-4756604.96801,3521823.64983,2022.7616,SCGN,ACTIVE,2023.345,0.0083,TRM57971.00,SCIT
COUG,46.05921526,-122.26077625,151.4371,-2366585.59456,-3749248.43136,4569926.30098,2022.7616,WSRN,RETIRED,2022.172,0.0000,TRM115000.00,NONE
COUP,48.21730988,-122.68560676,21.0148,-2299305.06954,-3583515.55623,4733026.25473,2022.7616,PNGA,ACTIVE,2023.345,0.0000,TRM115000.00+S,SCIT
CPBN,35.07173507,-117.57302632,835.7698,-2419255.39110,-4632919.71639,3644863.40540,2022.7616,NOTA,ACTIVE,2023.345,0.0083,TRM29659.00,SCIT
CPXF,46.84008413,-122.25652092,533.6169,-2332869.82389,-3696442.62188,4630011.52127,2022.7616,WSRN,ACTIVE,2023.345,0.0083,LEIAT504GG,LEIS
CPXX,46.84008417,-122.25652094,533.6023,-2332869.81832,-3696442.60967,4630011.51373,2022.7616,NOTA,ACTIVE,2023.345,0.0083,TRM59800.99,NONE
CRBT,35.79161423,-120.75076023,205.3748,-2648415.11980,-4451451.17137,3709581.12391,2022.7616,NOTA,ACTIVE,2023.345,0.0083,TRM59800.99,SCIT
CRCN,36.11398627,-119.56803684,26.0827,-2545533.76068,-4486775.91986,3738432.03199,2022.7616,CRTN,ACTIVE,2023.345,0.0000,TRM55971.00,TZGD
CRFP,34.03905288,-117.09968714,688.8237,-2410447.13717,-4710490.15343,3550422.58105,2022.7616,SCGN,ACTIVE,2023.345,0.0355,TRM57971.00,NONE
CRGG,35.24209163,-119.72482593,1173.0485,-2586242.19148,-4529603.74028,3660512.23355,2022.7616,SCGN,ACTIVE,2023.345,0.0083,TRM57971.00,SCIT
CRHS,33.82350639,-118.27277207,-23.4748,-2512420.56519,-4671388.14121,3530186.74948,2022.7616,NOTA,RETIRED,2020.148,0.0083,ASH701945B_M,SCIT
CROK,46.27459895,-122.91254476,1.0954,-2399640.67394,-3707499.56627,4586398.53586,2022.7616,WSRN,ACTIVE,2023.345,0.0000,TRM115000.00,NONE
CROW,37.43301945,-121.10058378,3.8374,-2619348.51140,-4342043.62243,3855666.05363,2022.7616,BARD,ACTIVE,2023.345,0.0083,SEPCHOKE_B3E6,SPKE
CRRS,33.06980873,-115.73504549,-81.9084,-2323104.88595,-4819509.18471,3460404.48380,2022.7616,NOTA,ACTIVE,2023.345,0.0083,TRM59800.80,SCIT
CRU1,34.02926267,-119.78481795,702.1093,-2628781.42102,-4592932.71608,3549529.97936,2022.7616,NOTA,ACTIVE,2023.345,0.0083,ASH700936D_M,NONE
CSCI,34.16840542,-119.03898701,70.7844,-2564319.11483,-4618739.43217,3561957.52186,2022.7616,NOTA,ACTIVE,2023.345,0.0083,TRM59800.99,SCIT
CSDH,33.86147981,-118.25672333,-9.1644,-2510007.11240,-4670035.98640,3533693.07389,2022.7616,SCGN,ACTIVE,2023.345,0.0083,TWIVC6150,NONE
CSKI,47.38057049,-122.23580310,10.2617,-2307859.51401,-3659745.02498,4670524.54382,2022.7616,WSRN,ACTIVE,2023.345,0.0000,TRM57971.00,NONE
CSN1,34.25355219,-118.52381782,261.4023,-2520226.46692,-4637081.81911,3569875.66311,2022.7616,SCGN,ACTIVE,2023.345,0.0814,TWIVC6150,NONE
CSST,34.40809233,-119.37125599,162.4601,-2583751.36457,-4590803.52608,3583976.84110,2022.7616,NOTA,ACTIVE,2023.345,0.0083,ASH701945B_M,SCIT
CTDM,34.51655095,-118.61321593,406.0302,-2519624.97373,-4618783.89279,3594034.98016,2022.7616,NOTA,ACTIVE,2023.345,0.0083,TRM59800.99,SCIT
CTMS,34.12410045,-116.37042944,966.4467,-2348052.36862,-4736256.87474,3558392.63007,2022.7616,NOTA,ACTIVE,2023.345,0.0083,ASH701945C_M,SCIT
CUGR,46.05951955,-122.26105549,152.8198,-2366591.37870,-3749217.11390,4569950.76710,2020.7600,WSRN,ACTIVE,2023.345,0.0000,TRM115000.00,NONE
